LINE_START_NAME,LINE_END_NAME
Сопот (Слатина Trafo),Сибница
Београд,Врчин Центар
Барајево АС (С.Крај-Липовица),Барајево
Рабровац (Шуме),Младеновац
Велика Крсна (окретница),Младеновац
Сопот (Рогача преки пут-Дрлупа,Сибница
Космај - Тресије,Сопот
БАС-Индустр. зона Барич,Обреновац
Обреновац (Степојевац),Лазаревац
БАС,М.Моштан. - Инд. зона 
БАС,Степојевац
БАС,БАРИЧ /АМБУЛАНТА/
Индустријска зона ,АС Лазаревац
БАС,Дражевац
Баново брдо,Баљевац (Ибарска магистрала)
Баново брдо,Пољане (Доњи крај)
БАС,Јасенак (пуж)
Индустријска зона ,Вукићевица
Младеновац ,Јагњило(Бељаковићи)
Индустријска зона ,Ушће (окретница)
БАС,Индустријска зона 
ЖС Лазаревац,АС Лазаревац
Барајево,Баћевац (Барајево)
Живковац,Живковац
Шумице,Дражањ (Гроцка)
Шумице,Дражањ
Младеновац,Глишићи
Шумице ,Дражањ
Гроцка,Младеновац
Сопот (Парцани-Бабе-Стојник),Стојник
Сопот-Сења-Ђуринци,Ропочево
Младеновац ,Рабровац ( Марошевац - Шуме)
Глишићи,Младеновац
Младеновац,Шуме
 Београд (аутопутем),Сопот (Станојевац)
Врчин (Авалски пут),Врчин (Авалски пут)
Београд, Младеновац ( Аутопутем )
Београд,Лазаревац (преко Ибарске)
Општина Младеновац,КЦС
Општина Младеновац,КБЦ Звездара
Општина Младеновац,КБЦ Земун
Општина Младеновац,КБЦ Бежанијска Коса
Општина Младеновац,КБЦ Драгиша Мишовић
Општина Сопот,КЦС
Општина Сопот,КБЦ Звездара
Општина Сопот,КБЦ Земун
Општина Сопот,КБЦ Бежанијска Коса
Општина Сопот,КБЦ Драгиша Мишовић
Општина Барајево,КЦС
Општина Барајево ,КБЦ Звездара
Општина Барајево,КБЦ Земун
Општина Барајево,КБЦ Бежанијска Коса
Општина Барајево,КБЦ Драгиша Мишовић
Општина Лазаревац,КЦС
Општина Лазаревац,КБЦ Звездара
Општина Лазаревац,КБЦ Земун
Општина Лазаревац,КБЦ Бежанијска Коса
Општина Лазаревац,КБЦ Драгиша Мишовић
Општина Сурчин,КЦС
Општина Сурчин,КБЦ Звездара
Општина Сурчин,КБЦ Земун
Општина Сурчин,КБЦ Бежанијска Коса
Општина Сурчин,КБЦ Драгиша Мишовић
Општина Обреновац,КЦС
Општина Обреновац,КБЦ Звездара
Општина Обреновац,КБЦ Земун
Општина Обреновац,КБЦ Бежанијска Коса
Општина Обреновац,КБЦ Драгиша Мишовић
Дражањ (центар),КЦС
Дражањ (центар),КБЦ Звездара
Дражањ (центар),КБЦ Земун
Дражањ (центар),КБЦ Бежанијска коса
Дражањ (центар),КБЦ Драгиша Мишовић
Дражањ (центар),КЦС
Живковац,КЦС
Општина Младеновац,Зелени венац 
Општина Сопот,Зелени венац
Општина Барајево,Зелени венац
Општина Лазаревац,Зелени венац
