DISPLAY_ROUTE_CODE,ROUTE_CODE,LINE_START_NAME,LINE_END_NAME
4151,60160,Младеновац (Амерић),Младеновац
4152,60161,Младеновац (Амерић),Младеновац
4161,60162,Младеновац,Космај (Златар)
4162,60163,Младеновац (Селтерс),Кораћица (Змајевац)
4163,60164,Младеновац (Селтерс-Петкаћи),Кораћица (Змајевац)
4164,60165,Младеновац,Сопот
4171,60166,Младеновац (С.Влашка-К. пут)),Младеновац
4171A,60167,Младеновац,Село Влашка
4172,60168,Младеновац (К. пут-С.Влашка),Младеновац
4175,60169,Младеновац (Врбица-Рајковац),Младеновац
4181,60170,Младеновац,Доња Дубона
4181A,60171,Младеновац,Дубона
4182,60172,Младеновац,Шепшин (чесма)
4183,60173,Младеновац (Дубона--Шепшин),Младеновац
4184,60174,Младеновац (Дубона--Шепшин),Младеновац
4191,60175,Градска 1 (Село Младеновац),Прогрес
4191A,60176,Градска 1 (Село Младеновац),Прогрес
4192,60177,Градска 2 (Развитак),Драпшин
4192A,60178,Градска 2 (Развитак),Аутобуска станица
4193,60179,Градска 3 (Рајковац),Кораћичка бања
4194,60180,Градска 4 (Село Младеновац),Међулужје
4194L,60181,Градска 4 викенд (Село Младеновац),Аутобуска станица
4195,60182,Младеновац,Ковачевац (Пут за Клисуру)
4196,60183,Младеновац,Ковачевац - Младеновац
4197,60184,Градска 2А (Младеновац),Развитак
4198,60185,Младеновац,Аутоцентар
4199,60186,Градска 5 (Границе),Трстена
4401,60187,Сопот,Парцани
4402A,60188,Сопот (Парцани-Бабе),Стојник
4402,60189,Сопот (Парцани-Дучина),Стојник
4403,60190,Сопот (Раља),Парцани
4404,60191,Сопот,Сибница
4404A,60192,Сопот,Сибница (Гробље)
4404b,60193,Сопот (Миросаљци),Сибница (Гробље)
4405,60194,Сопот,Неменикуће
4406A,60195,Сопот (Рогача-Дрлупа),Сибница
4406,60196,Сопот (Рогача-Дрлупа),Сибница
4407B,60197,Сопот (Дрлупа-Слатина),Сибница
4407C,60198,Сопот (Слатина),Сибница
